00=11,2EA2CC
01=11,2EA314
02=12,2EDAB8
03=13,2EF244
04=3C,31B23C
05=14,325CB4
06=1A,2F6A74
07=19,3205B4
08=19,320614
09=19,320674
0A=1F,2F37D8
0C=39,2FF0C4
0D=1A,2F6A4C
0E=22,33A0F0
0F=16,33B610
10=5B,3407C0
11=5C,340998
12=1C,2F9B30
13=2B,329D7C
15=3A,304FB8
16=3A,3054E4
17=3A,304C98
18=3A,304CE8
19=3A,304CC0
1A=3A,3054BC
1B=3F,3087E4
1C=3F,30869C
1D=41,31E644
1E=1E,323D80
1F=1E,323DD8
20=3A,305504
21=28,327A4C
22=28,3279DC
23=2B,329D7C
24=2B,329D7C
25=1C,2F9AA0
26=21,321A7C
27=52,32A6DC
28=56,32D3F4
29=56,32D404
2A=35,338B1C
2B=5D,340978
2C=5E,34149C
2D=5F,34212C
2E=60,3443C0
2F=61,343A1C
30=1F,2F38C0
31=62,349CF4
32=3E,31DD0C
33=65,34C3B8
34=69,34E590
35=69,34E5C8
36=69,34E668
37=3B,319954
38=31,352980
39=6C,3557B8
3A=6D,357854
3B=6E,358ED0
3C=6E,358ED0
3D=6F,3598B4
3E=72,35BCD0
3F=73,35E6B4
40=74,36157C
41=75,362028
42=78,362960
43=80,363B2C
44=11,2EA32C
45=8F,36735C
46=8F,367404
49=CE,3BFBB0
4A=46,3A8244
4B=62,34A304
4C=54,36C3B4
4D=56,32D32C
52=54,36C69C
53=54,36C6E4
54=57,32D3F4
55=57,32D404
56=58,32D3F4
57=58,32D404
58=59,32D3F4
59=59,32D404
5A=4B,374CD4
5B=A6,37A614
5C=AF,3176E8
5D=AF,317530
5E=44,3087E4
5F=45,3087E4
60=46,3A818C
61=47,3087E4
62=48,3087E4
63=49,3087E4
64=51,3B93AC
65=A8,37E894
66=B3,383B78
67=B7,3869D0
68=B7,386A90
69=B8,386978
6A=BC,2EA39C
6B=C1,391EA4
6C=55,397BB4
6D=55,397B34
6E=55,397B54
6F=55,397C24
70=C3,39C770
71=62,34A1A4
72=62,34A1CC
73=49,308354
75=C2,32D3F4
76=C2,32D404
77=A6,37A9CC
78=46,3A81BC
7B=CB,3B19E4
7C=CB,3B1B4C
7D=CB,3B1B3C
7E=51,3B960C
7F=51,3B966C
80=CE,3BFAE0
81=CE,3BF8E8
