00=11,2E85DC
01=11,2E8624
02=12,2EBDC8
03=13,2ED554
04=3C,31954C
05=14,323FC4
06=1A,2F4D84
07=19,31E8C4
08=19,31E924
09=19,31E984
0A=1F,2F1AE8
0C=39,2FD3D4
0D=1A,2F4D5C
0E=22,338400
0F=16,339920
10=5B,33EAD0
11=5C,33ECA8
12=1C,2F7E40
13=2B,32808C
15=3A,3032C8
16=3A,3037F4
17=3A,302FA8
18=3A,302FF8
19=3A,302FD0
1A=3A,3037CC
1B=3F,306AF4
1C=3F,3069AC
1D=41,31C954
1E=1E,322090
1F=1E,3220E8
20=3A,303814
21=28,325D5C
22=28,325CEC
23=2B,32808C
24=2B,32808C
25=1C,2F7DB0
26=21,31FD8C
27=52,3289EC
28=56,32B704
29=56,32B714
2A=35,336E2C
2B=5D,33EC88
2C=5E,33F7AC
2D=5F,34043C
2E=60,3426D0
2F=61,341D2C
30=1F,2F1BD0
31=62,348004
32=3E,31C01C
33=65,34A6C8
34=69,34C8A0
35=69,34C8D8
36=69,34C978
37=3B,317C64
38=31,350C90
39=6C,353AC8
3A=6D,355B64
3B=6E,3571E0
3C=6E,3571E0
3D=6F,357BC4
3E=72,359FE0
3F=73,35C9C4
40=74,35F88C
41=75,360338
42=78,360C70
43=80,361E3C
44=11,2E863C
45=8F,36566C
46=8F,365714
49=CE,3BDEC0
4A=46,3A6554
4B=62,348614
4C=54,36A6C4
4D=56,32B63C
52=54,36A9AC
53=54,36A9F4
54=57,32B704
55=57,32B714
56=58,32B704
57=58,32B714
58=59,32B704
59=59,32B714
5A=4B,372FE4
5B=A6,378924
5C=AF,3159F8
5D=AF,315840
5E=44,306AF4
5F=45,306AF4
60=46,3A649C
61=47,306AF4
62=48,306AF4
63=49,306AF4
64=51,3B76BC
65=A8,37CBA4
66=B3,381E88
67=B7,384CE0
68=B7,384DA0
69=B8,384C88
6A=BC,2E86AC
6B=C1,3901B4
6C=55,395EC4
6D=55,395E44
6E=55,395E64
6F=55,395F34
70=C3,39AA80
71=62,3484B4
72=62,3484DC
73=49,306664
75=C2,32B704
76=C2,32B714
77=A6,378CDC
78=46,3A64CC
7B=CB,3AFCF4
7C=CB,3AFE5C
7D=CB,3AFE4C
7E=51,3B791C
7F=51,3B797C
80=CE,3BDDF0
81=CE,3BDBF8
