00=22,2B64F4
01=22,2B648C
02=22,2B6564
03=6F,2CB8F8
04=22,2B642C
05=44,2B4614
06=4F,2E18EC
08=3B,2D67E4
09=42,2D8570
0A=42,2D8710
0B=42,2D8598
0C=1F,2CE270
0D=6E,2D5CB0
0E=11,2CC670
0F=20,2CE270
10=14,2C668C
11=4B,2DB610
12=4D,2DE2FC
13=21,2B385C
14=4F,2E1724
15=4F,2E18A4
16=51,2E5034
17=61,2ED57C
18=61,2ED75C
19=A6,308268
1A=64,2EE894
1B=67,2EF9B0
1C=6F,2CBF48
1D=6F,2CBF18
1E=63,2E6CB4
1F=73,2F88BC
20=75,2FB678
21=61,2ED7CC
22=58,2C1F14
23=58,2C1FEC
24=4E,2DEDF4
25=77,2FCE7C
26=77,2FCF54
27=7E,2FF810
28=8A,3077CC
29=86,304710
2A=4F,2E198C
2B=4F,2E16B4
2C=A6,308268
2D=80,3024A8
2E=6E,310070
2F=86,304A40
30=96,31362C
31=86,304A30
32=41,30BC8C
33=86,304AE8
34=3A,2D44BC
35=97,3148A8
37=AD,319448
38=AA,31B1BC
39=A6,3082A0
3A=97,3148B8
3B=6D,2F6A10
3C=6D,2F6960
3D=6D,2F6B38
3E=6D,2F6F68
3F=6D,2F69B8
40=6D,2F6B78
41=6D,2F6960
42=6D,2F6DB0
43=61,2ED7DC
44=BD,326320
45=78,31D10C
46=4C,2B3DC0
47=BD,326AE8
4A=75,2FB6D8
4B=7C,2FF888
4C=75,2FB6F0
