00=22,2B58C4
01=22,2B585C
02=22,2B5934
03=6F,2CACC8
04=22,2B57FC
05=44,2B39E4
06=4F,2E0CBC
08=3B,2D5BB4
09=42,2D7940
0A=42,2D7AE0
0B=42,2D7968
0C=1F,2CD640
0D=6E,2D5080
0E=11,2CBA40
0F=20,2CD640
10=14,2C5A5C
11=4B,2DA9E0
12=4D,2DD6CC
13=21,2B2C2C
14=4F,2E0AF4
15=4F,2E0C74
16=51,2E4404
17=61,2EC94C
18=61,2ECB2C
19=A6,307638
1A=64,2EDC64
1B=67,2EED80
1C=6F,2CB318
1D=6F,2CB2E8
1E=63,2E6084
1F=73,2F7C8C
20=75,2FAA48
21=61,2ECB9C
22=58,2C12E4
23=58,2C13BC
24=4E,2DE1C4
25=77,2FC24C
26=77,2FC324
27=7E,2FEBE0
28=8A,306B9C
29=86,303AE0
2A=4F,2E0D5C
2B=4F,2E0A84
2C=A6,307638
2D=80,301878
2E=6E,30F440
2F=86,303E10
30=96,3129FC
31=86,303E00
32=41,30B05C
33=86,303EB8
34=3A,2D388C
35=97,313C78
37=AD,318818
38=AA,31A58C
39=A6,307670
3A=97,313C88
3B=6D,2F5DE0
3C=6D,2F5D30
3D=6D,2F5F08
3E=6D,2F6338
3F=6D,2F5D88
40=6D,2F5F48
41=6D,2F5D30
42=6D,2F6180
43=61,2ECBAC
44=BD,3256F0
45=78,31C4DC
46=4C,2B3190
47=BD,325EB8
4A=75,2FAAA8
4B=7C,2FEC58
4C=75,2FAAC0
