[AMTE]
A2DE0,A2DE4,A2DEC,A2DF4,A2E00,超过 4 小时;0-99%
A2E2C,A2E30,A2E38,A2E40,A2E4C,2-4 小时;0-99%
A2E78,A2E7C,A2E84,A2E8C,A2E98,2 小时内;0-99%
A2EC4,A2EC8,A2ED0,A2ED8,A2EE4,超过 2 小时;100%
A2F34,A2F38,A2F40,A2F48,A2F54,2 小时内;100%

[AMTJ]
74FBF0,74FBF4,74FBF8,74FBFC,74FC00,超过 4 小时;2-99%;成人模式一般/困难;任意模式容易难度
74FC04,74FC08,74FC0C,74FC10,74FC14,2-4 小时;2-99%;成人模式一般/困难
74FC18,74FC1C,74FC20,74FC24,74FC28,2 小时内;2-99%;成人模式一般/困难
74FC2C,74FC30,74FC34,74FC38,74FC3C,超过 2 小时;100%;成人模式一般/困难
74FC40,74FC44,74FC48,74FC4C,74FC50,2 小时内;100%;成人模式一般难度
74FC54,74FC58,74FC5C,74FC60,74FC64,超过 4 小时;2-99%;孩童模式一般/困难
74FC68,74FC6C,74FC70,74FC74,74FC78,2-4 小时;2-99%;孩童模式一般/困难
74FC7C,74FC80,74FC84,74FC88,74FC8C,2 小时内;2-99%;孩童模式一般/困难
74FC90,74FC94,74FC98,74FC9C,74FCA0,超过 2 小时;100%;孩童模式一般/困难
74FCA4,74FCA8,74FCAC,74FCB0,74FCB4,2 小时内;100%;孩童模式一般难度
74FCB8,74FCBC,74FCC0,74FCC4,74FCC8,2 小时内;100%;困难难度
74FCCC,74FCD0,74FCD4,74FCD8,74FCDC,任意时间;1%;一般难度
74FCE0,74FCE4,74FCE8,74FCEC,74FCF0,任意时间;1%;困难难度

[AMTC]
6DEB8C,6DEB90,6DEB94,6DEB98,6DEB9C,超过 4 小时;2-99%;一般/困难模式;容易模式
6DEBA0,6DEBA4,6DEBA8,6DEBAC,6DEBB0,2-4 小时;2-99%;一般/困难模式
6DEBB4,6DEBB8,6DEBBC,6DEBC0,6DEBC4,2 小时内;2-99%;一般/困难模式
6DEBC8,6DEBCC,6DEBD0,6DEBD4,6DEBD8,超过 2 小时;100%;一般/困难模式
6DEBDC,6DEBE0,6DEBE4,6DEBE8,6DEBEC,2 小时内;100%;一般模式
6DEBF0,6DEBF4,6DEBF8,6DEBFC,6DEC00,与零点任务联机
6DEC04,6DEC08,6DEC0C,6DEC10,6DEC14,与零点任务联机
6DEC18,6DEC1C,6DEC20,6DEC24,6DEC28,与零点任务联机
6DEC2C,6DEC30,6DEC34,6DEC38,6DEC3C,与零点任务联机
6DEC40,6DEC44,6DEC48,6DEC4C,6DEC50,与零点任务联机
6DEC54,6DEC58,6DEC5C,6DEC60,6DEC64,2 小时内;100%;困难模式
6DEC68,6DEC6C,6DEC70,6DEC74,6DEC78,任意时间;1%;一般模式
6DEC7C,6DEC80,6DEC84,6DEC88,6DEC8C,任意时间;1%;困难模式

[BMXE]
54C06C,54C08C,54C0AC,54C0CC,54C0EC,超过 4 小时;16-99%;一般/困难模式;或容易模式
